month,year,days,report_date,journey_type,journeys_millions
1,2010,31,06/30/2010,Underground & DLR,96.83639076
2,2010,28,06/30/2010,Underground & DLR,90.33050361
3,2010,31,06/30/2010,Underground & DLR,90.03801412
4,2010,30,09/30/2010,Underground & DLR,92.5440925
5,2010,31,09/30/2010,Underground & DLR,88.66291085
6,2010,30,09/30/2010,Underground & DLR,86.3757023
7,2010,31,12/31/2010,Underground & DLR,94.98603486
8,2010,31,12/31/2010,Underground & DLR,97.02479406
9,2010,30,12/31/2010,Underground & DLR,97.02963968
10,2010,31,03/31/2011,Underground & DLR,77.36997907
11,2010,30,03/31/2011,Underground & DLR,90.6912942
12,2010,31,03/31/2011,Underground & DLR,94.25623237
1,2011,31,06/30/2011,Underground & DLR,97.63677178
2,2011,28,06/30/2011,Underground & DLR,94.10294338
3,2011,31,06/30/2011,Underground & DLR,94.98939582
4,2011,30,09/30/2011,Underground & DLR,98.90630154
5,2011,31,09/30/2011,Underground & DLR,91.7110092
6,2011,30,09/30/2011,Underground & DLR,91.7186178
7,2011,31,12/31/2011,Underground & DLR,100.5865731
8,2011,31,12/31/2011,Underground & DLR,103.1316347
9,2011,30,12/31/2011,Underground & DLR,104.1936729
10,2011,31,03/31/2012,Underground & DLR,84.50097107
11,2011,30,03/31/2012,Underground & DLR,96.70548698
12,2011,31,03/31/2012,Underground & DLR,98.46427621
1,2012,31,06/30/2012,Underground & DLR,95.63930738
2,2012,29,06/30/2012,Underground & DLR,99.96382228
3,2012,31,06/30/2012,Underground & DLR,96.64137128
4,2012,30,09/30/2012,Underground & DLR,104.8355659
5,2012,31,09/30/2012,Underground & DLR,113.6290531
6,2012,30,09/30/2012,Underground & DLR,102.6284804
7,2012,31,12/31/2012,Underground & DLR,105.8802169
8,2012,31,12/31/2012,Underground & DLR,108.3931857
9,2012,30,12/31/2012,Underground & DLR,109.5871702
10,2012,31,03/31/2013,Underground & DLR,84.72737956
11,2012,30,03/31/2013,Underground & DLR,98.97087593
12,2012,31,03/31/2013,Underground & DLR,104.2526944
1,2013,31,06/30/2013,Underground & DLR,99.74275141
2,2013,28,06/30/2013,Underground & DLR,105.064674
3,2013,31,06/30/2013,Underground & DLR,103.5364018
4,2013,30,09/30/2013,Underground & DLR,108.8441132
5,2013,31,09/30/2013,Underground & DLR,101.6331038
6,2013,30,09/30/2013,Underground & DLR,98.1570731
7,2013,31,12/31/2013,Underground & DLR,109.3813773
8,2013,31,12/31/2013,Underground & DLR,111.9729676
9,2013,30,12/31/2013,Underground & DLR,114.5651738
10,2013,31,03/31/2014,Underground & DLR,90.35986225
11,2013,30,03/31/2014,Underground & DLR,104.5940478
12,2013,31,03/31/2014,Underground & DLR,102.5768518
1,2014,31,06/30/2014,Underground & DLR,96.35747096
2,2014,28,06/30/2014,Underground & DLR,100.5217034
3,2014,31,06/30/2014,Underground & DLR,106.4923425
4,2014,30,09/30/2014,Underground & DLR,110.8696577
5,2014,31,09/30/2014,Underground & DLR,105.4292456
6,2014,30,09/30/2014,Underground & DLR,101.3265798
7,2014,31,12/31/2014,Underground & DLR,112.7901406
8,2014,31,12/31/2014,Underground & DLR,117.76628
9,2014,30,12/31/2014,Underground & DLR,120.3404409
10,2014,31,03/31/2015,Underground & DLR,93.94082233
11,2014,30,03/31/2015,Underground & DLR,108.7752426
12,2014,31,03/31/2015,Underground & DLR,114.7452006
1,2015,31,06/30/2015,Underground & DLR,123.8548619
2,2015,28,06/30/2015,Underground & DLR,110.9363985
3,2015,31,06/30/2015,Underground & DLR,114.9055978
4,2015,30,09/30/2015,Underground & DLR,110.3057381
5,2015,31,09/30/2015,Underground & DLR,103.5202237
6,2015,30,09/30/2015,Underground & DLR,106.3357502
7,2015,31,12/31/2015,Underground & DLR,121.2626244
8,2015,31,12/31/2015,Underground & DLR,121.5570551
9,2015,30,12/31/2015,Underground & DLR,123.446096
10,2015,31,03/31/2016,Underground & DLR,92.48038021
11,2015,30,03/31/2016,Underground & DLR,116.0941034
12,2015,31,03/31/2016,Underground & DLR,118.7645367
1,2016,31,06/30/2016,Underground & DLR,124.5322923
2,2016,29,06/30/2016,Underground & DLR,115.2464109
3,2016,31,06/30/2016,Underground & DLR,113.4187527
4,2016,30,09/30/2016,Underground & DLR,118.4314553
5,2016,31,09/30/2016,Underground & DLR,110.0565025
